OTIMIZACAO 5D BTCUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
0.0   2.5   40    80    0.0   69.95       50.0    
0.0   2.5   40    80    0.1   69.95       50.0    
0.0   2.5   40    80    0.2   69.95       50.0    
0.0   2.5   40    90    0.0   69.95       50.0    
0.0   2.5   40    90    0.1   69.95       50.0    
0.0   2.5   40    90    0.2   69.95       50.0    
0.0   2.5   40    100   0.0   69.95       50.0    
0.0   2.5   40    100   0.1   69.95       50.0    
0.0   2.5   40    100   0.2   69.95       50.0    
0.0   3.0   40    80    0.0   61.04       50.0    
0.0   3.0   40    80    0.1   61.04       50.0    
0.0   3.0   40    80    0.2   61.04       50.0    
0.0   3.0   40    90    0.0   61.04       50.0    
0.0   3.0   40    90    0.1   61.04       50.0    
0.0   3.0   40    90    0.2   61.04       50.0    
0.0   3.0   40    100   0.0   61.04       50.0    
0.0   3.0   40    100   0.1   61.04       50.0    
0.0   3.0   40    100   0.2   61.04       50.0    
0.0   3.5   40    80    0.0   49.43       50.0    
0.0   3.5   40    80    0.1   49.43       50.0    
0.0   3.5   40    80    0.2   49.43       50.0    
0.0   3.5   40    90    0.0   49.43       50.0    
0.0   3.5   40    90    0.1   49.43       50.0    
0.0   3.5   40    90    0.2   49.43       50.0    
0.0   3.5   40    100   0.0   49.43       50.0    
0.0   3.5   40    100   0.1   49.43       50.0    
0.0   3.5   40    100   0.2   49.43       50.0    
0.0   2.0   40    80    0.0   39.11       40.0    
0.0   2.0   40    80    0.1   39.11       40.0    
0.0   2.0   40    80    0.2   39.11       40.0    
0.0   2.0   40    90    0.0   39.11       40.0    
0.0   2.0   40    90    0.1   39.11       40.0    
0.0   2.0   40    90    0.2   39.11       40.0    
0.0   2.0   40    100   0.0   39.11       40.0    
0.0   2.0   40    100   0.1   39.11       40.0    
0.0   2.0   40    100   0.2   39.11       40.0    
0.0   2.5   20    80    0.0   33.28       40.0    
0.0   2.5   20    80    0.1   33.28       40.0    
0.0   2.5   20    80    0.2   33.28       40.0    
0.0   2.5   20    90    0.0   33.28       40.0    
0.0   2.5   20    90    0.1   33.28       40.0    
0.0   2.5   20    90    0.2   33.28       40.0    
0.0   2.5   20    100   0.0   33.28       40.0    
0.0   2.5   20    100   0.1   33.28       40.0    
0.0   2.5   20    100   0.2   33.28       40.0    
0.0   2.5   30    80    0.0   33.28       40.0    
0.0   2.5   30    80    0.1   33.28       40.0    
0.0   2.5   30    80    0.2   33.28       40.0    
0.0   2.5   30    90    0.0   33.28       40.0    
0.0   2.5   30    90    0.1   33.28       40.0    
0.0   2.5   30    90    0.2   33.28       40.0    
0.0   2.5   30    100   0.0   33.28       40.0    
0.0   2.5   30    100   0.1   33.28       40.0    
0.0   2.5   30    100   0.2   33.28       40.0    
0.0   3.5   20    80    0.0   27.08       40.0    
0.0   3.5   20    80    0.1   27.08       40.0    
0.0   3.5   20    80    0.2   27.08       40.0    
0.0   3.5   20    90    0.0   27.08       40.0    
0.0   3.5   20    90    0.1   27.08       40.0    
0.0   3.5   20    90    0.2   27.08       40.0    
0.0   3.5   20    100   0.0   27.08       40.0    
0.0   3.5   20    100   0.1   27.08       40.0    
