OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
0.0   3.0   20    80    0.0   92.13       50.0    
0.0   3.0   20    80    0.1   92.13       50.0    
0.0   3.0   20    80    0.2   92.13       50.0    
0.0   3.0   20    90    0.0   92.13       50.0    
0.0   3.0   20    90    0.1   92.13       50.0    
0.0   3.0   20    90    0.2   92.13       50.0    
0.0   3.0   30    80    0.0   92.13       50.0    
0.0   3.0   30    80    0.1   92.13       50.0    
0.0   3.0   30    80    0.2   92.13       50.0    
0.0   3.0   30    90    0.0   92.13       50.0    
0.0   3.0   30    90    0.1   92.13       50.0    
0.0   3.0   30    90    0.2   92.13       50.0    
0.0   3.0   20    100   0.0   75.04       42.9    
0.0   3.0   20    100   0.1   75.04       42.9    
0.0   3.0   20    100   0.2   75.04       42.9    
0.0   3.0   30    100   0.0   75.04       42.9    
0.0   3.0   30    100   0.1   75.04       42.9    
0.0   3.0   30    100   0.2   75.04       42.9    
0.0   3.5   20    80    0.0   70.08       62.5    
0.0   3.5   20    80    0.1   70.08       62.5    
0.0   3.5   20    80    0.2   70.08       62.5    
0.0   3.5   20    90    0.0   70.08       62.5    
0.0   3.5   20    90    0.1   70.08       62.5    
0.0   3.5   20    90    0.2   70.08       62.5    
0.0   3.5   30    80    0.0   70.08       62.5    
0.0   3.5   30    80    0.1   70.08       62.5    
0.0   3.5   30    80    0.2   70.08       62.5    
0.0   3.5   30    90    0.0   70.08       62.5    
0.0   3.5   30    90    0.1   70.08       62.5    
0.0   3.5   30    90    0.2   70.08       62.5    
0.0   3.5   20    100   0.0   67.08       57.1    
0.0   3.5   20    100   0.1   67.08       57.1    
0.0   3.5   20    100   0.2   67.08       57.1    
0.0   3.5   30    100   0.0   67.08       57.1    
0.0   3.5   30    100   0.1   67.08       57.1    
0.0   3.5   30    100   0.2   67.08       57.1    
2.0   2.0   20    80    0.2   54.08       78.3    
2.0   2.0   20    90    0.2   54.08       78.3    
2.0   2.0   30    80    0.2   54.08       78.3    
2.0   2.0   30    90    0.2   54.08       78.3    
2.0   2.0   20    80    0.1   53.41       76.9    
2.0   2.0   20    90    0.1   53.41       76.9    
2.0   2.0   30    80    0.1   53.41       76.9    
2.0   2.0   30    90    0.1   53.41       76.9    
2.0   2.0   20    100   0.2   49.77       78.3    
2.0   2.0   30    100   0.2   49.77       78.3    
2.0   2.0   20    100   0.1   49.10       76.9    
2.0   2.0   30    100   0.1   49.10       76.9    
1.0   1.5   20    90    0.1   48.16       64.9    
1.0   1.5   30    90    0.1   48.16       64.9    
