OTIMIZACAO BTCUSDT 1h
Parametros Fixos: EMA=90
------------------------------------------------------------
Dist    Stop    Nota    Lucro       Win%    Trades  
0.0     0.0     40      114.58      100.0   2       
0.0     0.0     20      89.49       66.7    3       
0.0     0.0     30      89.49       66.7    3       
0.0     2.5     40      69.95       50.0    4       
0.0     3.0     40      61.04       50.0    4       
0.0     2.0     40      39.11       40.0    5       
0.0     2.5     20      33.28       40.0    5       
0.0     2.5     30      33.28       40.0    5       
0.0     1.0     40      31.79       33.3    6       
0.0     3.0     20      24.67       40.0    5       
0.0     3.0     30      24.67       40.0    5       
0.0     1.5     40      21.49       33.3    6       
0.0     1.0     20      14.99       28.6    7       
0.0     1.0     30      14.99       28.6    7       
1.0     0.0     50      6.70        100.0   3       
1.0     0.5     50      6.70        100.0   3       
1.0     1.0     50      6.70        100.0   3       
1.0     1.5     50      6.70        100.0   3       
1.0     2.0     50      6.70        100.0   3       
1.0     2.5     50      6.70        100.0   3       
1.0     3.0     50      6.70        100.0   3       
0.0     1.5     20      4.85        28.6    7       
0.0     1.5     30      4.85        28.6    7       
0.0     2.0     20      3.49        33.3    6       
0.0     2.0     30      3.49        33.3    6       
2.0     0.0     20      -0.57       100.0   1       
2.0     0.0     30      -0.57       100.0   1       
2.0     0.0     40      -0.57       100.0   1       
2.0     0.5     20      -0.57       100.0   1       
2.0     0.5     30      -0.57       100.0   1       
2.0     0.5     40      -0.57       100.0   1       
2.0     1.0     20      -0.57       100.0   1       
2.0     1.0     30      -0.57       100.0   1       
2.0     1.0     40      -0.57       100.0   1       
2.0     1.5     20      -0.57       100.0   1       
2.0     1.5     30      -0.57       100.0   1       
2.0     1.5     40      -0.57       100.0   1       
2.0     2.0     20      -0.57       100.0   1       
2.0     2.0     30      -0.57       100.0   1       
2.0     2.0     40      -0.57       100.0   1       
2.0     2.5     20      -0.57       100.0   1       
2.0     2.5     30      -0.57       100.0   1       
2.0     2.5     40      -0.57       100.0   1       
2.0     3.0     20      -0.57       100.0   1       
2.0     3.0     30      -0.57       100.0   1       
2.0     3.0     40      -0.57       100.0   1       
0.0     0.5     40      -27.63      33.3    6       
0.0     0.5     20      -35.88      28.6    7       
0.0     0.5     30      -35.88      28.6    7       
1.0     2.5     20      -55.94      47.4    19      
1.0     2.5     30      -55.94      47.4    19      
1.0     2.5     40      -55.94      47.4    19      
1.0     3.0     20      -55.94      47.4    19      
1.0     3.0     30      -55.94      47.4    19      
1.0     3.0     40      -55.94      47.4    19      
1.0     0.0     20      -64.97      47.4    19      
1.0     0.0     30      -64.97      47.4    19      
1.0     0.0     40      -64.97      47.4    19      
1.0     1.0     20      -66.56      47.4    19      
1.0     1.0     30      -66.56      47.4    19      
1.0     1.0     40      -66.56      47.4    19      
1.0     1.5     20      -66.56      47.4    19      
1.0     1.5     30      -66.56      47.4    19      
1.0     1.5     40      -66.56      47.4    19      
1.0     0.5     20      -73.58      40.9    22      
1.0     0.5     30      -73.58      40.9    22      
1.0     0.5     40      -73.58      40.9    22      
1.0     2.0     20      -77.09      47.4    19      
1.0     2.0     30      -77.09      47.4    19      
1.0     2.0     40      -77.09      47.4    19      
